Image,id,Name,price,Sale
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/520817/01/mod01/fnd/PNA/fmt/png/Forever-Women's-7/8-Training-Leggings",520817_01,Forever Women's 7/8 Training Leggings,45,19.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/382622/01/sv01/fnd/PNA/fmt/png/RS-FAST-Paradise-Men's-Sneakers",382622_01,RS-FAST Paradise Men's Sneakers,120,59.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/382622/01/sv01/fnd/PNA/fmt/png/RS-FAST-Paradise-Men's-Sneakers",382622_01,RS-FAST Paradise Men's Sneakers,120,59.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/674615/38/mod01/fnd/PNA/fmt/png/Outside-the-Box-Men's-Logo-Tee",674615_38,Outside the Box Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/674616/38/mod01/fnd/PNA/fmt/png/Rider-Comic-Men's-Logo-Tee",674616_38,Rider Comic Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/674614/38/mod01/fnd/PNA/fmt/png/Wavy-Baby-Men's-Logo-Tee",674614_38,Wavy Baby Men's Logo Tee,25,9.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531103/06/mod01/fnd/PNA/fmt/png/101-Men's-Golf-Pants",531103_06,101 Men's Golf Pants,90,90.0
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/079174/02/fnd/PNA/fmt/png/Prime-Time-Cube-Wristlet-Bag",079174_02,Prime Time Cube Wristlet Bag,38,19.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531863/01/mod01/fnd/PNA/fmt/png/Classics-Women's-Logo-Tee",531863_01,Classics Women's Logo Tee,30,30.0
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531863/99/mod01/fnd/PNA/fmt/png/Classics-Women's-Logo-Tee",531863_99,Classics Women's Logo Tee,30,19.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531863/02/mod01/fnd/PNA/fmt/png/Classics-Women's-Logo-Tee",531863_02,Classics Women's Logo Tee,30,30.0
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531863/04/mod01/fnd/PNA/fmt/png/Classics-Women's-Logo-Tee",531863_04,Classics Women's Logo Tee,30,30.0
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531863/01/mod01/fnd/PNA/fmt/png/Classics-Women's-Logo-Tee",531863_01,Classics Women's Logo Tee,30,30.0
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531863/99/mod01/fnd/PNA/fmt/png/Classics-Women's-Logo-Tee",531863_99,Classics Women's Logo Tee,30,19.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531863/02/mod01/fnd/PNA/fmt/png/Classics-Women's-Logo-Tee",531863_02,Classics Women's Logo Tee,30,30.0
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531863/04/mod01/fnd/PNA/fmt/png/Classics-Women's-Logo-Tee",531863_04,Classics Women's Logo Tee,30,30.0
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531871/79/mod01/fnd/PNA/fmt/png/Classics-Women's-Bike-Shorts",531871_79,Classics Women's Bike Shorts,30,19.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531871/04/mod01/fnd/PNA/fmt/png/Classics-Women's-Bike-Shorts",531871_04,Classics Women's Bike Shorts,30,19.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531871/01/mod01/fnd/PNA/fmt/png/Classics-Women's-Bike-Shorts",531871_01,Classics Women's Bike Shorts,30,30.0
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531871/79/mod01/fnd/PNA/fmt/png/Classics-Women's-Bike-Shorts",531871_79,Classics Women's Bike Shorts,30,19.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531871/04/mod01/fnd/PNA/fmt/png/Classics-Women's-Bike-Shorts",531871_04,Classics Women's Bike Shorts,30,19.99
"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_2000,h_2000/global/531871/01/mod01/fnd/PNA/fmt/png/Classics-Women's-Bike-Shorts",531871_01,Classics Women's Bike Shorts,30,30.0
